TERR,LIB_TERR,periode,periode_milieu,periode_nb_annees,POPULATION_debut,POPULATION_fin,DECES,NAISSANCES,EVOL_DEMO_TOT,EVOL_DEMO_SN,EVOL_DEMO_SMA,TX_EVOL_DEMO_AN_TOT,TX_EVOL_DEMO_AN_SN,TX_EVOL_DEMO_AN_SMA,NIV_TERR
200013050,CC Sauer-Pechelbronn,1975_1982,1978.5,7,15300,15339,1228,1287,39,59,-20,0.000363748478665382,0.000550286160032245,-0.000186537681366863,EPCI
200013050,CC Sauer-Pechelbronn,1982_1990,1986,8,15339,16116,1328,1648,777,320,457,0.00619586074854484,0.00255170584238655,0.00364415490615829,EPCI
200013050,CC Sauer-Pechelbronn,1990_1999,1994.5,9,16116,16426,1338,1655,310,317,-7,0.0021192288411076,0.00216708239558422,-4.78535544766231e-05,EPCI
200013050,CC Sauer-Pechelbronn,1999_2010,2004.5,11,16426,17589,1525,1986,1163,461,702,0.00623831056000324,0.00247279550142863,0.00376551505857461,EPCI
200015162,CC de l'Oriente,2010_2015,2012.5,5,5820,6087,280,258,267,-22,289,0.00901137773200489,-0.000742510524734485,0.00975388825673937,EPCI
200015162,CC de l'Oriente,1968_1975,1971.5,7,6143,7747,484,410,1604,-74,1678,0.0336970848699687,-0.00155460366607088,0.0352516885360396,EPCI
200015162,CC de l'Oriente,1975_1982,1978.5,7,7747,6790,463,347,-957,-116,-841,-0.0186600938799004,-0.00226182956120005,-0.0163982643187004,EPCI
200015162,CC de l'Oriente,1982_1990,1986,8,6790,5932,491,504,-858,13,-871,-0.0167444170824368,0.00025370328912783,-0.0169981203715646,EPCI
200015162,CC de l'Oriente,1990_1999,1994.5,9,5932,5698,600,500,-234,-100,-134,-0.00446181508422916,-0.00190675858300391,-0.00255505650122525,EPCI
200015162,CC de l'Oriente,1999_2010,2004.5,11,5698,5820,623,452,122,-171,293,0.00192776718288812,-0.00270203433011367,0.00462980151300179,EPCI
200016905,CC du Pays de Lamastre,2010_2015,2012.5,5,6751,6629,423,254,-122,-169,47,-0.00364069231044051,-0.00504325410216759,0.00140256179172708,EPCI
200016905,CC du Pays de Lamastre,1968_1975,1971.5,7,8888,7936,812,846,-952,34,-986,-0.0160544008824478,0.000573371460087422,-0.0166277723425352,EPCI
200016905,CC du Pays de Lamastre,1975_1982,1978.5,7,7936,7491,780,531,-445,-249,-196,-0.00820997965775949,-0.00459389872984745,-0.00361608092791205,EPCI
200016905,CC du Pays de Lamastre,1982_1990,1986,8,7491,6783,781,571,-708,-210,-498,-0.0123336614100157,-0.00365828940127584,-0.00867537200873985,EPCI
200016905,CC du Pays de Lamastre,1990_1999,1994.5,9,6783,6478,805,570,-305,-235,-70,-0.00509891851364075,-0.00392867492034615,-0.0011702435932946,EPCI
200016905,CC du Pays de Lamastre,1999_2010,2004.5,11,6478,6751,950,636,273,-314,587,0.00375967001379141,-0.00432430910011173,0.00808397911390313,EPCI
200017341,CC Lodévois et Larzac,2010_2015,2012.5,5,14180,14480,899,753,300,-146,446,0.00419595162832964,-0.00204202979245376,0.0062379814207834,EPCI
200017341,CC Lodévois et Larzac,1968_1975,1971.5,7,11494,11590,1114,1110,96,-4,100,0.00118892010096916,-4.95383375403817e-05,0.00123845843850954,EPCI
200017341,CC Lodévois et Larzac,1975_1982,1978.5,7,11590,12413,1209,1034,823,-175,998,0.00984841574514772,-0.00209413457521367,0.0119425503203614,EPCI
200017341,CC Lodévois et Larzac,1982_1990,1986,8,12413,12008,1389,1223,-405,-166,-239,-0.00413781756942044,-0.00169599436178714,-0.0024418232076333,EPCI
200017341,CC Lodévois et Larzac,1990_1999,1994.5,9,12008,11836,1439,1211,-172,-228,56,-0.00160175579472821,-0.00212325768138391,0.000521501886655697,EPCI
200017341,CC Lodévois et Larzac,1999_2010,2004.5,11,11836,14180,1823,1642,2344,-181,2525,0.0165617211309179,-0.00127887010439255,0.0178405912353105,EPCI
200017846,CA Étampois Sud-Essonne,2010_2015,2012.5,5,51002,53435,1905,3884,2433,1979,454,0.00936379139511678,0.00761649945373453,0.00174729194138225,EPCI
200017846,CA Étampois Sud-Essonne,1968_1975,1971.5,7,31951,37218,2592,4364,5267,1772,3495,0.0220377553498576,0.00741425906207476,0.0146234962877829,EPCI
200017846,CA Étampois Sud-Essonne,1975_1982,1978.5,7,37218,39846,2614,3910,2628,1296,1332,0.0097947300794432,0.00483027784739665,0.00496445223204656,EPCI
200017846,CA Étampois Sud-Essonne,1982_1990,1986,8,39846,44720,3100,4962,4874,1862,3012,0.0145293908445812,0.00555062079454455,0.00897877005003661,EPCI
