TERR,LIB_TERR,AGEREVS,type_indice,valeur,NIV_TERR
200066058,CA Saint-Louis Agglomération,GLOBAL,IRI,0.0980839306868769,EPCI
200066108,CC Haute Saulx et Perthois-Val d'Ornois,GLOBAL,IRI,0.086587971564563,EPCI
200066116,CC Argonne-Meuse,GLOBAL,IRI,0.107910179725998,EPCI
200066124,CA Gaillac-Graulhet,GLOBAL,IRI,0.057052740031653,EPCI
200066132,CC du Pays de Stenay et du Val Dunois,GLOBAL,IRI,0.0998406580220679,EPCI
200066140,CC de l'Aire à l'Argonne,GLOBAL,IRI,0.0622995364380541,EPCI
200066157,CC de Commercy - Void - Vaucouleurs,GLOBAL,IRI,0.0866762800975803,EPCI
200066165,CC Val de Meuse - Voie Sacrée,GLOBAL,IRI,0.0543619639116427,EPCI
200066173,CC de Damvillers Spincourt,GLOBAL,IRI,0.0627049629583994,EPCI
200066223,CC Arize Lèze,GLOBAL,IRI,0.0690407989864111,EPCI
200066231,CC des Portes d'Ariège Pyrénées,GLOBAL,IRI,0.0439681902766668,EPCI
200066280,CC du Pithiverais,GLOBAL,IRI,0.09203822145932,EPCI
200066322,CC Terres des Confluences,GLOBAL,IRI,0.0844530559043134,EPCI
200066330,CC Terres du Haut-Berry,GLOBAL,IRI,0.0969026166882442,EPCI
